churn_prob_no_outreach,churn_prob_with_outreach,cate,cate_percentage_points,days_since_signup,has_priority_condition,health_content_pct,tenure_norm,priority_score,weighted_uplift,rank
0.59747535,0.43850267,0.15897268,15.897268,559,1.0,0.4444444444444444,0.9982142857142857,3.664880952380952,0.3480986679670847,1
0.48870087,0.30937797,0.1793229,17.93229,552,1.0,0.3333333333333333,0.9857142857142858,3.4857142857142858,0.30547146328756625,2
0.56431144,0.41546595,0.1488455,14.884549,547,1.0,0.36363636363636365,0.9767857142857143,3.5222402597402596,0.2958513301827985,3
0.51433104,0.3543047,0.16002634,16.002634,523,1.0,0.4166666666666667,0.9339285714285714,3.5589285714285714,0.2929230085055587,4
0.6365314,0.5017316,0.13479984,13.479984,532,1.0,0.2857142857142857,0.95,3.378571428571428,0.2898960623220033,5
0.51485044,0.35458526,0.16026518,16.026518,556,1.0,0.3333333333333333,0.9928571428571429,3.492857142857143,0.28820471299854905,6
0.5618861,0.41745934,0.14442673,14.442674,542,1.0,0.32786885245901637,0.9678571428571429,3.4596604215456677,0.2807561824713029,7
0.5362604,0.38361067,0.15264976,15.2649765,491,1.0,0.36363636363636365,0.8767857142857143,3.42224025974026,0.2801446748105542,8
0.52723956,0.37406597,0.1531736,15.31736,540,1.0,0.3333333333333333,0.9642857142857143,3.4642857142857144,0.2797728713147821,9
0.46757334,0.2951589,0.17241445,17.241446,539,1.0,0.3333333333333333,0.9625,3.4625,0.2791342916534939,10
0.5448722,0.39958304,0.14528918,14.528918,528,1.0,0.375,0.9428571428571428,3.505357142857143,0.27749823352287606,11
0.6130717,0.48023948,0.1328322,13.28322,526,1.0,0.2916666666666667,0.9392857142857143,3.376785714285714,0.2749907720167229,12
0.505445,0.35470894,0.15073606,15.0736065,549,1.0,0.4,0.9803571428571428,3.580357142857143,0.2727830793964164,13
0.47793183,0.32544538,0.15248644,15.248644,554,1.0,0.5,0.9892857142857143,3.7392857142857143,0.2725121301664096,14
